family,genus,keyword,action,video_path
pteropodidae,acerodon,flying fox,birth,_HfeZABTVr8
pteropodidae,acerodon,flying fox,birth,Cy_A2oCwaUA
pteropodidae,acerodon,flying fox,birth,1CYeUBE5rfY
pteropodidae,acerodon,flying fox,copulate,jdl4iXhVxXk
pteropodidae,acerodon,flying fox,copulate,0-dlobwPqc4
pteropodidae,acerodon,flying fox,eat,XxjV6A2m8TA
pteropodidae,acerodon,flying fox,eat,RA2-u6T2X68
pteropodidae,acerodon,flying fox,eat,-h2rfU1b97k
pteropodidae,acerodon,flying fox,eat,wgq5d_eEgzg
pteropodidae,acerodon,flying fox,eat,3eCc2NSYBbc
pteropodidae,acerodon,flying fox,eat,wllavmlMe8g
pteropodidae,acerodon,flying fox,eat,kf9gG3f1gco
pteropodidae,acerodon,flying fox,eat,mm45GdDi600
pteropodidae,acerodon,flying fox,eat,ospNvN7AkRs
pteropodidae,acerodon,flying fox,eat,NhzX94vZnFU
pteropodidae,acerodon,flying fox,eat,lvUXty9X3BE
pteropodidae,acerodon,flying fox,eat,7gQ5-XQ2nFo
pteropodidae,acerodon,flying fox,eat,TSGYdaoCEg8
pteropodidae,acerodon,flying fox,eat,zEMMEIR8iek
pteropodidae,acerodon,flying fox,eat,k4qgWacUsno
pteropodidae,acerodon,flying fox,eat,Uoa_3Ukt-5E
pteropodidae,acerodon,flying fox,eat,U_FIaF_ydyc
pteropodidae,acerodon,flying fox,eat,nBqbg6dOtTM
pteropodidae,acerodon,flying fox,eat,iqimc5vUMVU
pteropodidae,acerodon,flying fox,eat,UI92H13zaKQ
pteropodidae,acerodon,flying fox,eat,d-MSBdYv1_M
pteropodidae,acerodon,flying fox,eat,_IHMxQIB8DQ
pteropodidae,acerodon,flying fox,eat,oXsUy7EhqdQ
bovidae,aepycerotinae,impala,battle,rNrBSGXD-Ew
bovidae,aepycerotinae,impala,battle,HVif-GQL0pM
bovidae,aepycerotinae,impala,battle,nlOpqJOq5ew
bovidae,aepycerotinae,impala,battle,onAE9aJi9qU
bovidae,aepycerotinae,impala,battle,XFcq9zT9-ng
bovidae,aepycerotinae,impala,battle,8iatSBvVA1Y
bovidae,aepycerotinae,impala,battle,vwUyq9A6EnY
bovidae,aepycerotinae,impala,battle,1pVOh4YAyb4
bovidae,aepycerotinae,impala,battle,c5SqrS8nrsI
bovidae,aepycerotinae,impala,battle,zrE3hlj3Uqc
bovidae,aepycerotinae,impala,battle,zDD3Ix4XJNE
bovidae,aepycerotinae,impala,battle,4UrqJwRfRHo
bovidae,aepycerotinae,impala,battle,PPVWu8lCI8s
bovidae,aepycerotinae,impala,battle,KNXvZ_asqxo
bovidae,aepycerotinae,impala,battle,jrzCr0vThFk
bovidae,aepycerotinae,impala,battle,O3lmqLEtXUo
bovidae,aepycerotinae,impala,battle,xiWRDgghjOQ
bovidae,aepycerotinae,impala,birth,U20GjXBxM7o
bovidae,aepycerotinae,impala,birth,hu_Etk3Qp6g
bovidae,aepycerotinae,impala,birth,VjuHYvieJlw
bovidae,aepycerotinae,impala,birth,AJKalXCguyY
bovidae,aepycerotinae,impala,birth,AAUWWt3O8W0
bovidae,aepycerotinae,impala,birth,3WwmoOyN8n4
bovidae,aepycerotinae,impala,birth,jzrlHYw9cjc
bovidae,aepycerotinae,impala,birth,aqYMkog2_vA
bovidae,aepycerotinae,impala,birth,pixPmIb0iEI
bovidae,aepycerotinae,impala,birth,gtY3sXvIj_8
bovidae,aepycerotinae,impala,birth,Qkkq8cgGutQ
